Gender,Age,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Study_Hours_per_Week,Stress_Level (1-10),Sleep_Hours_per_Night,Department_Business,Department_CS,Department_Engineering,Department_Mathematics,Parent_Education_Level_Bachelor's,Parent_Education_Level_High School,Parent_Education_Level_Master's,Parent_Education_Level_PhD,Family_Income_Level_High,Family_Income_Level_Low,Family_Income_Level_Medium,Extracurricular_Activities_No,Extracurricular_Activities_Yes,Internet_Access_at_Home_No,Internet_Access_at_Home_Yes,Target
1.0,0.6666666666666665,0.6319263852770554,0.9314657328664333,0.08954477238619318,0.3892778555711143,0.7791558311662334,0.615,0.9603920784156834,0.6050191618247003,0.48400000000000004,0.5555555555555556,0.3400000000000001,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,Graduate
0.0,0.833333333333333,0.15543108621724366,0.568784392196098,0.023178255794564007,0.09541908381676345,0.5279055811162234,0.6610000000000001,0.01960392078415696,0.11960125422852586,0.15600000000000003,0.5555555555555556,0.18000000000000005,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,Dropout
1.0,0.5,0.7921584316863375,0.10788727697181921,0.4388861097215273,0.42048409681936394,0.04040808161632348,0.7480000000000001,0.004400880176035349,0.17116398251272757,0.52,0.0,0.44000000000000017,False,False,True,False,False,True,False,False,False,False,True,False,True,True,False,Dropout
1.0,0.6666666666666665,0.9189837967593522,0.31165582791395696,0.1949307987326997,0.42548509701940396,0.7941588317663535,0.20800000000000002,0.14882976595319075,0.20368851077220462,0.9279999999999999,0.3333333333333333,0.94,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,Dropout
1.0,0.16666666666666652,0.24404880976195265,0.20010005002501252,0.7068534267133568,0.47229445889177835,0.5865173034606921,0.185,0.47809561912382503,0.4466109981006756,0.8959999999999999,0.5555555555555556,0.8800000000000001,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,Graduate
0.0,0.833333333333333,0.6989397879575918,0.6519926629981658,0.0031682507920627323,0.7193438687737548,0.37727545509101823,0.161,0.025205041008201645,0.1636116387012665,0.76,0.1111111111111111,0.6400000000000001,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,Dropout
0.0,0.33333333333333304,0.6297259451890378,0.8914457228614308,0.5631148907787227,0.10002000400080036,0.20444088817763562,0.5720000000000001,0.29925985197039395,0.4154912956989849,0.15600000000000003,0.6666666666666665,0.3599999999999999,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,Enrolled
1.0,0.6666666666666665,0.17123424684936994,0.032516258129064446,0.5155911288977824,0.8957791558311663,0.19723944788957803,0.5529999999999999,0.7613522704540909,0.5127501994852721,0.27999999999999997,0.5555555555555556,0.8200000000000001,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,Graduate
1.0,0.5,0.48149629925985216,0.24162081040520256,0.26563281640820413,0.21664332866573321,0.23384676935387083,0.12300000000000001,0.11842368473694753,0.09539329504714589,0.22799999999999998,0.6666666666666665,0.28,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,Dropout
1.0,0.33333333333333304,0.3840768153630727,0.5432716358179088,0.3051525762881441,0.4876975395079015,0.24084816963392686,0.08299999999999999,0.3058611722344471,0.2748626080311085,0.003999999999999976,0.6666666666666665,0.3400000000000001,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,Enrolled
1.0,0.6666666666666665,0.9853970794158833,0.852592963148241,0.38719359679839904,0.04140828165633126,0.7383476695339068,0.42,0.20944188837767563,0.35110531698490655,0.244,0.7777777777777777,0.15999999999999992,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,Enrolled
0.0,0.33333333333333304,0.6095219043808764,0.3606803401700851,0.012506253126563283,0.8661732346469295,0.24844968993798777,0.133,0.5415083016603321,0.2890232526775982,0.124,0.5555555555555556,1.0,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,Enrolled
1.0,0.6666666666666665,0.31886377275455113,0.25212606303151575,0.22044355511088876,0.2122424484896981,0.11702340468093642,0.19100000000000003,0.1740348069613924,0.09480888749030658,0.428,1.0,0.45999999999999996,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,Dropout
1.0,0.16666666666666652,0.01960392078415696,0.10905452726363174,0.20593630148407538,0.24684936987397488,0.7475495099019807,0.227,0.7639527905581116,0.34057474235493745,0.39599999999999996,0.3333333333333333,0.41999999999999993,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,Enrolled
1.0,0.833333333333333,0.5637127425485098,0.17508754377188596,0.24445556111389033,0.013802760552110493,0.6317263452690538,0.252,0.25665133026605336,0.14641657020195775,0.008000000000000007,0.8888888888888888,0.44000000000000017,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,Dropout
0.0,0.5,0.8109621924384878,0.3149908287477071,0.6626646656661663,0.07861572314462895,0.772354470894179,0.373,0.6123224644928986,0.47585385315636297,0.8240000000000001,0.1111111111111111,0.6800000000000002,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,Graduate
1.0,0.6666666666666665,0.883976795359072,0.15040853760213435,0.0573620143405037,0.766353270654131,0.7305461092218444,0.49600000000000005,0.031406281256251445,0.16781487766776415,0.796,0.3333333333333333,0.9600000000000002,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,Dropout
